format,difficulty,acc,tokens,acc_per_100tok,ext,n
prose,4,1.0,156.26666666666668,0.6399317406143344,1.0,30
prose,8,1.0,242.8,0.41186161449752884,1.0,30
prose,16,1.0,387.8,0.25786487880350695,1.0,30
prose,32,0.9666666666666667,752.0666666666667,0.12853470437017994,0.9761904761904762,30
prose,48,1.0,1104.6666666666667,0.09052504526252263,0.9943812104787715,30
state,4,0.9666666666666667,187.26666666666668,0.5161979352082592,1.0,30
state,8,1.0,406.6666666666667,0.2459016393442623,1.0,30
state,16,1.0,1054.0,0.09487666034155598,1.0,30
state,32,0.9666666666666667,3090.633333333333,0.03127730022972638,0.9822580645161291,30
state,48,0.06666666666666667,3848.133333333333,0.0017324417033366829,0.8254458257811069,30
code_eval,4,1.0,46.666666666666664,2.142857142857143,1.0,30
code_eval,8,1.0,93.76666666666667,1.066477070742979,1.0,30
code_eval,16,1.0,181.3,0.5515719801434087,1.0,30
code_eval,32,1.0,369.8666666666667,0.27036770007209804,1.0,30
code_eval,48,1.0,554.7333333333333,0.18026679485638744,1.0,30
code,4,1.0,39.1,2.557544757033248,0.5666666666666667,30
code,8,0.7,84.23333333333333,0.8310249307479224,0.6142857142857142,30
code,16,0.8333333333333334,186.83333333333334,0.44603033006244425,0.8333333333333334,30
code,32,0.9666666666666667,353.6,0.2733785822021116,0.9666666666666667,30
code,48,0.9666666666666667,440.03333333333336,0.21968032724793576,0.9673758865248226,30
