model,condition,difficulty,n,acc,acc_lo,acc_hi,tokens,tokens_lo,tokens_hi,ext_frac,ext_lo,ext_hi
DeepSeek-R1-Distill-Qwen-7B,cot,1,300,0.9566666666666667,0.9333333333333333,0.9766666666666667,349.53,339.90216666666663,359.1705,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,cot,2,300,0.9166666666666666,0.8866666666666667,0.9466666666666667,474.8066666666667,454.319,495.80016666666666,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,cot,4,300,0.9033333333333333,0.87,0.9333333333333333,1005.62,926.725,1087.1231666666665,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,cot,8,300,0.73,0.68,0.7766666666666666,2209.8,2051.45525,2368.2363333333333,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,cot,16,300,0.27666666666666667,0.22666666666666666,0.33,4249.043333333333,4029.53475,4454.701916666667,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,cot,24,300,0.08,0.05,0.11,5975.893333333333,5747.173333333333,6217.88525,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,1,100,0.05,0.01,0.1,9.22,7.58,11.200249999999999,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,2,100,0.05,0.01,0.09,9.45,8.729750000000001,10.23,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,4,100,0.04,0.01,0.08,17.31,14.559750000000001,20.180749999999996,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,8,100,0.03,0.0,0.07,16.18,13.56975,19.1105,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,16,100,0.12,0.06,0.19,11.57,11.07,12.00025,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,24,100,0.11,0.05,0.18,11.0,10.53,11.44,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,free,1,300,0.97,0.95,0.9866666666666667,313.3666666666667,307.92958333333337,318.95666666666665,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,free,2,300,0.9666666666666667,0.9466666666666667,0.9866666666666667,438.6766666666667,402.30966666666666,498.09291666666655,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,free,4,300,0.8833333333333333,0.8433333333333334,0.92,516.72,508.35200000000003,525.7003333333333,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,free,8,300,0.44666666666666666,0.38666666666666666,0.5033333333333333,849.9466666666667,788.3494166666667,920.3530833333333,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,free,16,300,0.31666666666666665,0.26666666666666666,0.36333333333333334,1535.5033333333333,1393.7484166666666,1696.5839166666665,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,free,24,300,0.18333333333333332,0.14,0.22666666666666666,4951.843333333333,4609.39975,5303.102833333333,nan,nan,nan
