model,condition,difficulty,n,acc,acc_lo,acc_hi,tokens,tokens_lo,tokens_hi,ext_frac,ext_lo,ext_hi
DeepSeek-R1-Distill-Qwen-1.5B,cot,1,300,0.83,0.7833333333333333,0.87,225.24333333333334,220.43933333333334,230.49683333333334,0.8401360544217688,0.7993197278911565,0.8809523809523809
DeepSeek-R1-Distill-Qwen-1.5B,cot,2,300,0.5766666666666667,0.52,0.6333333333333333,329.46666666666664,322.80325,336.144,0.7133333333333334,0.6666666666666666,0.7583749999999998
DeepSeek-R1-Distill-Qwen-1.5B,cot,3,300,0.5466666666666666,0.49,0.6066666666666667,458.5,440.1465833333333,485.37766666666664,0.6711111111111111,0.625,0.7205694444444444
DeepSeek-R1-Distill-Qwen-1.5B,cot,4,300,0.5,0.44333333333333336,0.5566666666666666,728.1966666666667,662.6301666666667,799.07525,0.6936111111111111,0.6513819444444444,0.7352777777777777
DeepSeek-R1-Distill-Qwen-1.5B,cot,6,300,0.5133333333333333,0.4533333333333333,0.5733333333333334,1268.2566666666667,1146.78425,1401.7529166666666,0.7051666666666667,0.6612166666666667,0.7482805555555556
DeepSeek-R1-Distill-Qwen-1.5B,cot,8,300,0.84,0.7999166666666667,0.88,2100.2433333333333,1991.3208333333332,2219.7181666666665,0.9312738095238096,0.9071727182539683,0.9532945436507937
DeepSeek-R1-Distill-Qwen-1.5B,cot,12,300,0.68,0.63,0.7333333333333333,2741.1633333333334,2575.02375,2913.0077499999998,0.8901964886964887,0.8622979888167389,0.9164259650072151
DeepSeek-R1-Distill-Qwen-1.5B,cot,16,300,0.44333333333333336,0.38666666666666666,0.5,5174.08,4905.407,5427.111416666667,0.9461565934065933,0.9275043613793613,0.9625686054686056
DeepSeek-R1-Distill-Qwen-1.5B,direct,1,100,0.06,0.02,0.11,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,direct,2,100,0.01,0.0,0.03,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,direct,3,100,0.01,0.0,0.03,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,direct,4,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,direct,6,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,direct,8,100,0.01,0.0,0.03,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,direct,12,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,direct,16,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,free,1,300,0.87,0.8333333333333334,0.9066666666666666,235.08333333333334,228.28933333333333,242.79116666666664,0.8707482993197279,0.8299319727891157,0.9081632653061225
DeepSeek-R1-Distill-Qwen-1.5B,free,2,300,0.64,0.5866666666666667,0.6966666666666667,329.52,322.90291666666667,336.0605,0.7516666666666667,0.7066666666666667,0.7933333333333333
DeepSeek-R1-Distill-Qwen-1.5B,free,3,300,0.5666666666666667,0.51,0.6266666666666667,509.5566666666667,469.681,558.4690833333334,0.6927777777777777,0.6472222222222221,0.7427916666666665
DeepSeek-R1-Distill-Qwen-1.5B,free,4,300,0.48,0.42658333333333337,0.54,597.5833333333334,556.1398333333333,643.2573333333333,0.6641666666666667,0.6233263888888888,0.7094583333333332
DeepSeek-R1-Distill-Qwen-1.5B,free,6,300,0.5166666666666667,0.46,0.5733333333333334,1213.3266666666666,1085.1036666666666,1357.7404166666668,0.6928888888888889,0.6501666666666667,0.7351166666666666
DeepSeek-R1-Distill-Qwen-1.5B,free,8,300,0.73,0.68,0.7766666666666666,1901.4233333333334,1760.8969166666668,2050.517583333333,0.8635833333333333,0.8309776785714286,0.8939787698412699
DeepSeek-R1-Distill-Qwen-1.5B,free,12,300,0.53,0.47658333333333336,0.5866666666666667,2693.5233333333335,2461.337583333333,2949.2691666666665,0.8184587542087541,0.7830333423520924,0.8530450216450217
DeepSeek-R1-Distill-Qwen-1.5B,free,16,300,0.45,0.3933333333333333,0.5066666666666667,4438.94,4148.558083333333,4728.523166666666,0.8896054316054315,0.8617633789821291,0.9161532141469643
