model,condition,difficulty,n,acc,acc_lo,acc_hi,tokens,tokens_lo,tokens_hi,ext_frac,ext_lo,ext_hi
DeepSeek-R1-Distill-Qwen-14B,cot,1,300,0.9966666666666667,0.99,1.0,997.6333333333333,906.2275833333333,1094.5478333333333,1.0,1.0,1.0
DeepSeek-R1-Distill-Qwen-14B,cot,2,300,1.0,1.0,1.0,1114.3266666666666,1051.70675,1177.1211666666666,1.0,1.0,1.0
DeepSeek-R1-Distill-Qwen-14B,cot,3,300,1.0,1.0,1.0,1236.0233333333333,1182.0625,1290.4589999999998,1.0,1.0,1.0
DeepSeek-R1-Distill-Qwen-14B,cot,4,300,0.9966666666666667,0.99,1.0,1276.2566666666667,1225.1916666666666,1329.6728333333333,0.9975,0.9925,1.0
DeepSeek-R1-Distill-Qwen-14B,cot,6,300,1.0,1.0,1.0,1444.2933333333333,1399.0646666666667,1488.3115833333331,1.0,1.0,1.0
DeepSeek-R1-Distill-Qwen-14B,cot,8,300,1.0,1.0,1.0,1506.4766666666667,1466.0329166666666,1548.4147500000001,1.0,1.0,1.0
DeepSeek-R1-Distill-Qwen-14B,cot,12,300,0.9966666666666667,0.99,1.0,1737.62,1693.0360833333334,1781.8263333333332,0.9996296296296298,0.9988888888888887,1.0
DeepSeek-R1-Distill-Qwen-14B,cot,16,300,0.99,0.9766666666666667,1.0,1998.09,1946.0089166666667,2049.76475,0.9957020757020757,0.9898412698412699,1.0
DeepSeek-R1-Distill-Qwen-14B,direct,1,100,0.5,0.4,0.6,55.45,53.02975,57.71,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,direct,2,100,0.08,0.03,0.14,63.99,63.97,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,direct,3,100,0.03,0.0,0.07,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,direct,4,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,direct,6,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,direct,8,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,direct,12,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,direct,16,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,free,1,300,0.9433333333333334,0.9166666666666666,0.9666666666666667,245.39,238.86291666666668,252.19683333333333,0.9489795918367347,0.9217687074829932,0.9727891156462585
DeepSeek-R1-Distill-Qwen-14B,free,2,300,0.7933333333333333,0.75,0.84,405.23,389.72875,421.4843333333333,0.8616666666666667,0.8266666666666667,0.8966666666666666
DeepSeek-R1-Distill-Qwen-14B,free,3,300,0.76,0.71325,0.81,563.7166666666667,530.2933333333333,602.0730833333333,0.841111111111111,0.805,0.8755555555555556
DeepSeek-R1-Distill-Qwen-14B,free,4,300,0.72,0.67,0.77,616.6733333333333,592.4595833333334,645.5395,0.82,0.7830555555555556,0.856111111111111
DeepSeek-R1-Distill-Qwen-14B,free,6,300,0.6766666666666666,0.62,0.73,876.3066666666666,838.4288333333333,921.0410833333333,0.8050555555555556,0.7674972222222222,0.8403888888888889
DeepSeek-R1-Distill-Qwen-14B,free,8,300,0.6166666666666667,0.5633333333333334,0.6733333333333333,1070.2933333333333,1029.1838333333335,1118.0935833333333,0.7623015873015874,0.7225669642857143,0.8007094246031746
DeepSeek-R1-Distill-Qwen-14B,free,12,300,0.5733333333333334,0.5166666666666667,0.63,1562.9,1495.5563333333332,1640.6754166666667,0.7320282587782588,0.690790340909091,0.7693150222462722
DeepSeek-R1-Distill-Qwen-14B,free,16,300,0.8533333333333334,0.8133333333333334,0.8933333333333333,2749.4333333333334,2660.0328333333337,2839.922583333333,0.9241677859177859,0.897993938006438,0.9483382945757945
