model,condition,difficulty,n,acc,acc_lo,acc_hi,tokens,tokens_lo,tokens_hi,ext_frac,ext_lo,ext_hi
DeepSeek-R1-Distill-Qwen-1.5B,cot,1,300,0.9533333333333334,0.93,0.9766666666666667,149.15,145.12525,153.39758333333333,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,cot,2,300,0.99,0.9766666666666667,1.0,200.73,198.25966666666665,203.39024999999998,0.99,0.9766666666666667,1.0
DeepSeek-R1-Distill-Qwen-1.5B,cot,4,300,0.98,0.9633333333333334,0.9933333333333333,341.6533333333333,337.7364166666667,345.62675,0.9844444444444443,0.97,0.9966666666666667
DeepSeek-R1-Distill-Qwen-1.5B,cot,8,300,0.92,0.8866666666666667,0.95,575.0233333333333,564.64625,585.4635000000001,0.9692063492063492,0.9560317460317461,0.9809523809523809
DeepSeek-R1-Distill-Qwen-1.5B,cot,16,300,0.5866666666666667,0.53,0.6433333333333333,1244.4333333333334,1145.857,1355.4703333333332,0.8047924297924298,0.7721674908424909,0.8377143162393162
DeepSeek-R1-Distill-Qwen-1.5B,cot,32,300,0.27,0.22,0.3200833333333329,3477.3766666666666,3183.15825,3770.270833333333,0.5651931034482758,0.5241235037166515,0.6062150513356993
DeepSeek-R1-Distill-Qwen-1.5B,cot,48,300,0.18,0.13666666666666666,0.22333333333333333,5416.363333333334,5131.579166666667,5691.877583333333,0.5144075847869714,0.475481298277844,0.5508399029999137
DeepSeek-R1-Distill-Qwen-1.5B,direct,1,100,0.6,0.51,0.7,33.4,32.26,34.520250000000004,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,direct,2,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,direct,4,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,direct,8,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,direct,16,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,direct,32,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,direct,48,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,free,1,300,0.9533333333333334,0.93,0.9766666666666667,186.97666666666666,155.78333333333333,242.78466666666665,nan,nan,nan
DeepSeek-R1-Distill-Qwen-1.5B,free,2,300,0.9933333333333333,0.9833333333333333,1.0,217.6,215.35266666666666,219.74358333333333,0.9933333333333333,0.9833333333333333,1.0
DeepSeek-R1-Distill-Qwen-1.5B,free,4,300,0.99,0.9766666666666667,1.0,335.00333333333333,330.63991666666664,340.08525,0.991111111111111,0.98,1.0
DeepSeek-R1-Distill-Qwen-1.5B,free,8,300,0.8766666666666667,0.84,0.9133333333333333,599.9,590.0630000000001,609.87175,0.9592063492063494,0.9447619047619048,0.9725436507936507
DeepSeek-R1-Distill-Qwen-1.5B,free,16,300,0.68,0.6266666666666667,0.7333333333333333,1089.3633333333332,1053.12875,1132.6806666666666,0.8607728937728937,0.8312899572649572,0.8884467032967033
DeepSeek-R1-Distill-Qwen-1.5B,free,32,300,0.31333333333333335,0.2633333333333333,0.36666666666666664,3887.673333333333,3599.88825,4175.593416666667,0.6030834348570722,0.5646801114995498,0.64308665051115
DeepSeek-R1-Distill-Qwen-1.5B,free,48,300,0.16333333333333333,0.12333333333333334,0.20666666666666667,5874.41,5603.9695833333335,6143.183499999999,0.5446419317162227,0.5087412429990692,0.5826584871503593
