model,condition,difficulty,n,acc,acc_lo,acc_hi,tokens,tokens_lo,tokens_hi,ext_frac,ext_lo,ext_hi
DeepSeek-R1-Distill-Qwen-14B,cot,1,300,1.0,1.0,1.0,410.49333333333334,395.73991666666666,424.79025,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,cot,2,300,1.0,1.0,1.0,758.8866666666667,731.5783333333334,788.3945,1.0,1.0,1.0
DeepSeek-R1-Distill-Qwen-14B,cot,4,300,0.9933333333333333,0.9833333333333333,1.0,820.77,781.6024166666667,880.5525833333332,0.9966666666666667,0.99,1.0
DeepSeek-R1-Distill-Qwen-14B,cot,8,300,1.0,1.0,1.0,983.08,961.79625,1005.37375,1.0,1.0,1.0
DeepSeek-R1-Distill-Qwen-14B,cot,16,300,0.99,0.9766666666666667,1.0,1443.3866666666668,1416.5699166666666,1469.0625,0.9979999999999999,0.994888888888889,1.0
DeepSeek-R1-Distill-Qwen-14B,cot,32,300,0.9466666666666667,0.9233333333333333,0.97,2274.29,2223.7343333333333,2323.91675,0.9757035224323322,0.962258839451242,0.9871569892473118
DeepSeek-R1-Distill-Qwen-14B,cot,48,300,0.9333333333333333,0.9,0.96,2904.6566666666668,2840.6147499999997,2968.8834166666666,0.9668857389772184,0.9495163774622385,0.9814605753225707
DeepSeek-R1-Distill-Qwen-14B,direct,1,100,1.0,1.0,1.0,12.29,11.99,12.59,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,direct,2,100,0.9,0.84,0.95,54.12,51.68975,56.52,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,direct,4,100,0.02,0.0,0.05,59.93,57.16975,62.34,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,direct,8,100,0.0,0.0,0.0,59.93,57.23975,62.15,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,direct,16,100,0.0,0.0,0.0,60.37,57.3795,62.81,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,direct,32,100,0.0,0.0,0.0,44.78,39.80975,49.82,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,direct,48,100,0.0,0.0,0.0,55.44,51.389,59.05025,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,free,1,300,1.0,1.0,1.0,136.31333333333333,132.79325,139.84033333333335,nan,nan,nan
DeepSeek-R1-Distill-Qwen-14B,free,2,300,0.9933333333333333,0.9833333333333333,1.0,233.23,215.74575000000002,257.0263333333333,0.9933333333333333,0.9833333333333333,1.0
DeepSeek-R1-Distill-Qwen-14B,free,4,300,0.9966666666666667,0.99,1.0,299.4533333333333,291.43325,311.2040833333333,0.9966666666666667,0.99,1.0
DeepSeek-R1-Distill-Qwen-14B,free,8,300,0.9633333333333334,0.94,0.9833333333333333,597.4166666666666,588.7429166666667,605.9938333333333,0.9876190476190476,0.9766666666666667,0.9961904761904763
DeepSeek-R1-Distill-Qwen-14B,free,16,300,0.8733333333333333,0.8333333333333334,0.91,1163.0666666666666,1145.1636666666668,1180.6834166666667,0.9595555555555556,0.9404388888888888,0.9766722222222222
DeepSeek-R1-Distill-Qwen-14B,free,32,300,0.89,0.8533333333333334,0.9266666666666666,2170.9266666666667,2093.074,2250.1851666666666,0.962247311827957,0.9462068100358423,0.977030017921147
DeepSeek-R1-Distill-Qwen-14B,free,48,300,0.87,0.83,0.9066666666666666,3311.5133333333333,3177.74875,3461.2214999999997,0.9391125997622244,0.9157242150464695,0.9609909938889356
